Group,Model,DInoW,SPDnoW,DI,SPD
hispanic_american_indian_female,LRSimple,0.4446,-0.3445,0.4446,-0.3445
hispanic_american_indian_female,LRAdvanced,0.5008,-0.3094,0.5008,-0.3094
hispanic_american_indian_female,LightGBMSimple,0.4508,-0.4202,0.4508,-0.4202
hispanic_american_indian_female,LightGBMAdvanced,0.5556,-0.3586,0.5556,-0.3586
hispanic_american_indian_male,LRSimple,0.0393,-0.596,0.0393,-0.596
hispanic_american_indian_male,LRAdvanced,0.1574,-0.5222,0.1574,-0.5222
hispanic_american_indian_male,LightGBMSimple,0.5101,-0.3748,0.5101,-0.3748
hispanic_american_indian_male,LightGBMAdvanced,0.4232,-0.4654,0.4232,-0.4654
hispanic_asian_female,LRSimple,0.7585,-0.1498,0.7585,-0.1498
hispanic_asian_female,LRAdvanced,0.6644,-0.208,0.6644,-0.208
hispanic_asian_female,LightGBMSimple,0.692,-0.2356,0.692,-0.2356
hispanic_asian_female,LightGBMAdvanced,0.802,-0.1598,0.802,-0.1598
hispanic_asian_male,LRSimple,1.0149,0.0092,1.0149,0.0092
hispanic_asian_male,LRAdvanced,0.8367,-0.1012,0.8367,-0.1012
hispanic_asian_male,LightGBMSimple,0.9199,-0.0613,0.9199,-0.0613
hispanic_asian_male,LightGBMAdvanced,0.8263,-0.1402,0.8263,-0.1402
hispanic_black_female,LRSimple,0.403,-0.3704,0.403,-0.3704
hispanic_black_female,LRAdvanced,0.511,-0.3031,0.511,-0.3031
hispanic_black_female,LightGBMSimple,0.6863,-0.24,0.6863,-0.24
hispanic_black_female,LightGBMAdvanced,0.661,-0.2735,0.661,-0.2735
hispanic_black_male,LRSimple,0.2873,-0.4422,0.2873,-0.4422
hispanic_black_male,LRAdvanced,0.3834,-0.3821,0.3834,-0.3821
hispanic_black_male,LightGBMSimple,0.5565,-0.3393,0.5565,-0.3393
hispanic_black_male,LightGBMAdvanced,0.5154,-0.391,0.5154,-0.391
hispanic_native_hawaiian_female,LRSimple,0.1075,-0.5537,0.1075,-0.5537
hispanic_native_hawaiian_female,LRAdvanced,0.6454,-0.2197,0.6454,-0.2197
hispanic_native_hawaiian_female,LightGBMSimple,0.6972,-0.2317,0.6972,-0.2317
hispanic_native_hawaiian_female,LightGBMAdvanced,0.661,-0.2735,0.661,-0.2735
hispanic_native_hawaiian_male,LRSimple,0.1511,-0.5267,0.1511,-0.5267
hispanic_native_hawaiian_male,LRAdvanced,0.4034,-0.3697,0.4034,-0.3697
hispanic_native_hawaiian_male,LightGBMSimple,0.531,-0.3588,0.531,-0.3588
hispanic_native_hawaiian_male,LightGBMAdvanced,0.2711,-0.5881,0.2711,-0.5881
hispanic_white_female,LRSimple,0.8293,-0.1059,0.8293,-0.1059
hispanic_white_female,LRAdvanced,0.8319,-0.1042,0.8319,-0.1042
hispanic_white_female,LightGBMSimple,0.7933,-0.1582,0.7933,-0.1582
hispanic_white_female,LightGBMAdvanced,0.8151,-0.1492,0.8151,-0.1492
hispanic_white_male,LRSimple,0.8133,-0.1158,0.8133,-0.1158
hispanic_white_male,LRAdvanced,0.8107,-0.1173,0.8107,-0.1173
hispanic_white_male,LightGBMSimple,0.8106,-0.1449,0.8106,-0.1449
hispanic_white_male,LightGBMAdvanced,0.8271,-0.1395,0.8271,-0.1395
not_hispanic_american_indian_female,LRSimple,0.4925,-0.3149,0.4925,-0.3149
not_hispanic_american_indian_female,LRAdvanced,0.4482,-0.342,0.4482,-0.342
not_hispanic_american_indian_female,LightGBMSimple,0.5689,-0.3298,0.5689,-0.3298
not_hispanic_american_indian_female,LightGBMAdvanced,0.723,-0.2235,0.723,-0.2235
not_hispanic_american_indian_male,LRSimple,0.5874,-0.256,0.5874,-0.256
not_hispanic_american_indian_male,LRAdvanced,0.6154,-0.2384,0.6154,-0.2384
not_hispanic_american_indian_male,LightGBMSimple,0.8308,-0.1294,0.8308,-0.1294
not_hispanic_american_indian_male,LightGBMAdvanced,0.8718,-0.1035,0.8718,-0.1035
not_hispanic_asian_female,LRSimple,1.2434,0.151,1.2434,0.151
not_hispanic_asian_female,LRAdvanced,1.2429,0.1506,1.2429,0.1506
not_hispanic_asian_female,LightGBMSimple,0.9744,-0.0196,0.9744,-0.0196
not_hispanic_asian_female,LightGBMAdvanced,0.9711,-0.0233,0.9711,-0.0233
not_hispanic_asian_male,LRSimple,1.1845,0.1145,1.1845,0.1145
not_hispanic_asian_male,LRAdvanced,1.1852,0.1148,1.1852,0.1148
not_hispanic_asian_male,LightGBMSimple,0.9671,-0.0252,0.9671,-0.0252
not_hispanic_asian_male,LightGBMAdvanced,0.9759,-0.0195,0.9759,-0.0195
not_hispanic_black_female,LRSimple,0.4993,-0.3106,0.4993,-0.3106
not_hispanic_black_female,LRAdvanced,0.5026,-0.3083,0.5026,-0.3083
not_hispanic_black_female,LightGBMSimple,0.536,-0.3549,0.536,-0.3549
not_hispanic_black_female,LightGBMAdvanced,0.6223,-0.3047,0.6223,-0.3047
not_hispanic_black_male,LRSimple,0.4827,-0.3209,0.4827,-0.3209
not_hispanic_black_male,LRAdvanced,0.4892,-0.3166,0.4892,-0.3166
not_hispanic_black_male,LightGBMSimple,0.5566,-0.3392,0.5566,-0.3392
not_hispanic_black_male,LightGBMAdvanced,0.638,-0.2921,0.638,-0.2921
not_hispanic_native_hawaiian_female,LRSimple,0.841,-0.0987,0.841,-0.0987
not_hispanic_native_hawaiian_female,LRAdvanced,0.7016,-0.185,0.7016,-0.185
not_hispanic_native_hawaiian_female,LightGBMSimple,0.8525,-0.1128,0.8525,-0.1128
not_hispanic_native_hawaiian_female,LightGBMAdvanced,0.8891,-0.0895,0.8891,-0.0895
not_hispanic_native_hawaiian_male,LRSimple,0.7069,-0.1818,0.7069,-0.1818
not_hispanic_native_hawaiian_male,LRAdvanced,0.7077,-0.1811,0.7077,-0.1811
not_hispanic_native_hawaiian_male,LightGBMSimple,0.6651,-0.2562,0.6651,-0.2562
not_hispanic_native_hawaiian_male,LightGBMAdvanced,0.7393,-0.2104,0.7393,-0.2104
not_hispanic_white_female,LRSimple,1.0061,0.0038,1.0061,0.0038
not_hispanic_white_female,LRAdvanced,1.0063,0.0039,1.0063,0.0039
not_hispanic_white_female,LightGBMSimple,1.0161,0.0123,1.0161,0.0123
not_hispanic_white_female,LightGBMAdvanced,1.0071,0.0057,1.0071,0.0057
not_hispanic_white_male,LRSimple,0.8133,-0.1158,0.8133,-0.1158
not_hispanic_white_male,LRAdvanced,0.8107,-0.1173,0.8107,-0.1173
not_hispanic_white_male,LightGBMSimple,0.8106,-0.1449,0.8106,-0.1449
not_hispanic_white_male,LightGBMAdvanced,0.8271,-0.1395,0.8271,-0.1395
